rev_id,ocev_id,author_role,rating,pros,cons,notes,is_published,created_at,updated_at
RV0001,EV0001,parent,5,"[""在学生による学部紹介が丁寧で、進路のイメージが具体化できた"",""キャンパスツアーで教養学部と専門課程の違いを知ることができた"",""オンライン配信もあり後から復習できる資料が豊富""]","[""参加者が多く質問コーナーは抽選制だった"",""駅から会場までの導線案内がもう少し分かりやすいと助かる""]",保護者として参加。模擬講義はハイレベルでしたが、資料が後日公開されるので復習しやすいです。子どもは学生相談ブースで履修の組み方を詳しく聞けました。,1,2025-08-05 12:00:00,2025-08-05 12:00:00
RV0002,EV0079,parent,4,"[""研究室公開で実際の実験設備を体験できた"",""学生スタッフが地方出身者の生活面についてリアルな話をしてくれた""]","[""オンライン個別相談は予約枠がすぐ埋まってしまった""]",事前予約必須。学部説明で入試方式ごとのポイントがまとまっており、次の模試対策にも活かせそうです。,1,2025-08-02 12:00:00,2025-08-02 12:00:00
RV0003,EV0112,student,5,"[""在学生メンターと1対1で話す枠があり、履修やサークルの雰囲気を詳しく聞けた"",""キャンパスの雰囲気を動画だけでなく実際に体感できた""]","[""人気の模擬講義は当日受付で満席になっていた""]",三田キャンパスでの開催。学生生活の紹介が中心で、入学後の不安が解消できました。,1,2025-08-05 12:00:00,2025-08-05 12:00:00
RV0004,EV0160,parent,4,"[""研究室見学が少人数で質問しやすかった"",""英語による授業の比率や留学制度について具体的な説明があった""]","[""昼食スペースが混雑していたので時間配分に注意が必要""]",理工学部志望の娘と参加。実験装置のデモを見て将来の学びがイメージできました。,1,2025-08-02 12:00:00,2025-08-02 12:00:00
RV0005,EV0176,student,4,"[""ゼミの在学生との座談会でカリキュラムの選び方を教えてもらえた"",""キャンパスツアーで図書館やラーニングスペースを見学できた""]","[""池袋キャンパスは人が多く、個別相談の待ち時間が長かった""]",社会学部の雰囲気が自分に合っていると感じました。池袋と新座で内容が分かれているので、希望学部の日程を事前に確認しておくと良いです。,1,2025-08-04 12:00:00,2025-08-04 12:00:00
RV0006,EV0233,parent,5,"[""研究室公開で学生が自分の研究をプレゼンしてくれた"",""体験授業でプログラミングの演習を保護者も見学できた""]","[""キャンパスが坂の途中にあり、移動が少し大変""]",理系志望の息子と参加。実験系の設備が充実していて、学生の雰囲気も活発でした。,1,2025-08-02 12:00:00,2025-08-02 12:00:00
RV0007,EV0288,student,4,"[""個別相談で留学プログラムの話が聞けた"",""模擬授業でケーススタディを体験できた""]","[""シャトルバスの本数がもう少し多いと助かる""]",グローバル志向のカリキュラムが魅力的でした。多摩キャンパスは自然が多く、勉強に集中できそうです。,1,2025-08-06 12:00:00,2025-08-06 12:00:00
RV0008,EV0348,parent,4,"[""実習施設を見学でき、指導教員が研究内容を丁寧に説明してくれた"",""卒業生の進路事例が展示されていてイメージがつかみやすい""]","[""参加申込が複数日に分かれており、希望枠を確保するのに少し苦労した""]",スポーツ系志望の子どもと参加。競技経験を活かした学び方について具体的なアドバイスをもらえました。,1,2025-07-06 12:00:00,2025-07-06 12:00:00
RV0009,EV0351,student,5,"[""模擬授業でアクティブラーニングを体験できた"",""実習に同行した学生の体験談がとても参考になった""]","[""来場型の定員が限られており、申し込み開始と同時に行動する必要がある""]",教育志望として参加。教員養成のサポート体制が手厚く、入学後のイメージが湧きました。,1,2025-06-21 12:00:00,2025-06-21 12:00:00
RV0010,EV0378,parent,4,"[""学部ごとのタイムテーブルが分かれており効率よく回れた"",""研究室ツアーで学生が制作したロボットに触れられた""]","[""オンライン配信と来場を両方見ると情報量が多くて整理が大変""]",理工系志望の娘と参加。教員との距離が近く、質問にも丁寧に答えていただけました。,1,2025-08-07 12:00:00,2025-08-07 12:00:00
RV0011,EV0387,student,3,"[""キャンパスツアーで各学部の施設を紹介してくれた"",""Webコンテンツで事前学習してから参加できる""]","[""夏の来場型が少なく、秋まで待つ必要がある""]",秋のオープンデイ情報が事前に公開されているので計画を立てやすいです。,1,2025-09-14 12:00:00,2025-09-14 12:00:00
RV0012,EV0487,parent,5,"[""DTMスタジオや最新の音響設備を体験できた"",""学生スタッフが制作した作品を見ながら説明してくれた""]","[""川越駅からスクールバスで少し時間がかかる""]",音楽系志望の息子と参加。教員との個別相談で入試対策のアドバイスを頂けました。,1,2025-07-06 12:00:00,2025-07-06 12:00:00
RV0013,EV0007,student,5,"[""研究室ツアーで最先端ロボットのデモを見せてもらえた"",""学生スタッフが進級時の専門選択について具体的に教えてくれた""]","[""事前質問を用意しておかないと個別相談の時間が短く感じる""]",自分の研究テーマをイメージできるようになりました。教員との距離も近く、学びの環境が充実していると感じます。,1,2025-08-06 12:00:00,2025-08-06 12:00:00
RV0014,EV0050,student,4,"[""在学生によるゼミ紹介でカリキュラムの柔軟性を知ることができた"",""模擬講義が複数回実施され、興味のあるテーマを選べた""]","[""人気プログラムは立ち見になるほど混雑していた""]",文系でも幅広い分野を学べる点が魅力的でした。入試情報の冊子が非常に充実しており、受験勉強の指針になります。,1,2025-08-03 12:00:00,2025-08-03 12:00:00
RV0015,EV0090,parent,4,"[""模擬授業でケーススタディを親子で体験できた"",""就職支援の取り組みについて具体的なデータが提示された""]","[""日吉キャンパスは坂が多く、移動に余裕を持つ必要がある""]",商学部志望の子どもと参加。OB・OGによる進路体験談が充実しており、将来像を描きやすくなりました。,1,2025-06-22 12:00:00,2025-06-22 12:00:00
